checkm_version	Pfam_32
PF01000.21	PF01000.26
PF01196.14	PF01196.19
PF00416.17	PF00416.22
PF01193.19	PF01193.24
PF00411.14	PF00411.19
PF00828.14	PF00828.19
PF00281.14	PF00281.19
PF00673.16	PF00673.21
PF03719.10	PF03719.15
PF00333.15	PF00333.20
PF00861.17	PF00861.22
PF00347.18	PF00347.23
PF00238.14	PF00238.19
PF00410.14	PF00410.19
PF00297.17	PF00297.22
PF00276.15	PF00276.20
PF00252.13	PF00252.18
PF00237.14	PF00237.19
PF00831.18	PF00831.23
PF00203.16	PF00203.21
PF00366.15	PF00366.20
PF00181.18	PF00181.23
PF00573.17	PF00573.22
PF00189.15	PF00189.20
PF03947.13	PF03947.18
PF04997.7	PF04997.12
PF04983.13	PF04983.18
PF04998.12	PF04998.17
PF10385.4	PF10385.9
PF04560.15	PF04560.20
PF04565.11	PF04565.16
PF00562.23	PF00562.28
PF00623.15	PF00623.20
PF05000.12	PF05000.17
PF04563.10	PF04563.15
PF04561.9	PF04561.14
PF00572.13	PF00572.18
PF00380.14	PF00380.19
PF00687.16	PF00687.21
PF00298.14	PF00298.19
PF03946.9	PF03946.14
PF03948.9	PF03948.14
PF01281.14	PF01281.19
PF08529.6	PF08529.11
PF13184.1	PF13184.6
PF01632.14	PF01632.19
PF00453.13	PF00453.18
PF00177.16	PF00177.21
PF00164.20	PF00164.25
PF00466.15	PF00466.20
PF02912.13	PF02912.18
PF01409.15	PF01409.20
PF00318.15	PF00318.20
PF00889.14	PF00889.19
PF00829.16	PF00829.21
PF01016.14	PF01016.19
PF01668.13	PF01668.18
PF01250.12	PF01250.17
PF00312.17	PF00312.22
PF01121.15	PF01121.20
PF01245.15	PF01245.20
PF02130.12	PF02130.17
PF02367.12	PF02367.17
PF02033.13	PF02033.18
PF01018.17	PF01018.22
PF01195.14	PF01195.19
PF01649.13	PF01649.18
PF01795.14	PF01795.19
PF00886.14	PF00886.19
PF06421.7	PF06421.12
PF11987.3	PF11987.8
PF00338.17	PF00338.22
PF01509.13	PF01509.18
PF01746.16	PF01746.21
PF06071.8	PF06071.13
PF05697.8	PF05697.13
PF02978.14	PF02978.19
PF03484.10	PF03484.15
PF13603.1	PF13603.6
PF01765.14	PF01765.19
PF00162.14	PF00162.19
PF12344.3	PF12344.8
PF05491.8	PF05491.13
PF08459.6	PF08459.11
TIGR01079	TIGR01079
TIGR00967	TIGR00967
TIGR00855	TIGR00855
TIGR03723	TIGR03723
TIGR00329	TIGR00329
TIGR00459	TIGR00459
TIGR00755	TIGR00755
TIGR03594	TIGR03594
TIGR00615	TIGR00615
TIGR00084	TIGR00084
TIGR00019	TIGR00019
TIGR00250	TIGR00250
TIGR00392	TIGR00392
TIGR00922	TIGR00922
TIGR02075	TIGR02075
TIGR00810	TIGR00810
TIGR02432	TIGR02432
TIGR00460	TIGR00460
TIGR03263	TIGR03263
TIGR00344	TIGR00344
